Churn,customer_gender_is_Male,customer_is_SeniorCitizen,customer_has_Partner,customer_has_Dependents,customer_tenure,phone_has_PhoneService,phone_has_MultipleLines,internet_has_StreamingMovies,internet_has_DeviceProtection,internet_has_OnlineBackup,internet_has_OnlineSecurity,internet_has_StreamingTV,internet_has_TechSupport,internet_Service_dsl,internet_Service_fiber_optic,internet_Service_no,account_is_PaperlessBilling,account_Charges_Monthly,account_Charges_Daily,account_Charges_Total,account_Payment_bank_transfer_(automatic),account_Payment_credit_card_(automatic),account_Payment_electronic_check,account_Payment_mailed_check,account_Contract_month-to-month,account_Contract_one_year,account_Contract_two_year
1,0,0,0,0,7,1,1,0,0,0,0,0,0,0,1,0,1,73.85,2.4616666666666664,511.25,0,0,1,0,1,0,0
0,0,0,1,1,61,1,1,1,1,1,1,1,1,1,0,0,0,88.1,2.9366666666666665,5526.75,0,0,0,1,0,0,1
1,1,0,0,0,15,1,0,1,1,0,0,1,1,0,1,0,1,101.35,3.378333333333333,1553.95,0,0,1,0,1,0,0
0,0,0,0,1,26,0,0,1,0,0,1,0,1,1,0,0,0,45.8,1.5266666666666666,1147.0,0,0,0,1,1,0,0
0,1,0,1,0,72,1,0,1,1,0,0,1,0,0,1,0,1,94.65,3.1550000000000002,6747.35,0,0,1,0,1,0,0
0,1,0,1,1,44,1,0,0,0,0,0,0,0,0,0,1,1,20.5,0.6833333333333333,865.05,1,0,0,0,0,1,0
0,1,0,0,0,66,1,1,1,0,1,0,0,0,0,1,0,0,89.4,2.98,5976.9,0,1,0,0,1,0,0
1,0,0,0,0,2,1,0,0,0,1,1,0,1,0,1,0,1,86.25,2.875,181.65,0,0,1,0,1,0,0
0,0,1,0,0,44,1,0,1,1,0,0,1,1,1,0,0,0,74.85,2.4949999999999997,3268.05,1,0,0,0,0,1,0
1,0,0,0,0,12,1,1,0,0,1,0,1,0,0,1,0,1,89.75,2.9916666666666667,1052.4,1,0,0,0,1,0,0
0,1,1,1,0,69,1,1,1,1,1,0,1,1,0,1,0,1,109.95,3.665,7634.25,0,0,1,0,0,0,1
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,80.2,2.6733333333333333,80.2,0,0,0,1,1,0,0
1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,19.85,0.6616666666666667,63.75,0,0,0,1,1,0,0
0,0,0,1,0,2,1,0,0,0,1,1,1,0,0,1,0,0,90.35,3.0116666666666663,190.5,0,0,1,0,1,0,0
0,0,1,0,0,27,1,1,0,1,1,0,0,0,0,1,0,1,86.45,2.881666666666667,2401.05,1,0,0,0,1,0,0
0,1,0,0,0,26,1,0,0,0,0,0,0,0,0,0,1,1,20.3,0.6766666666666666,511.25,0,0,1,0,1,0,0
0,0,1,1,0,39,1,1,1,0,0,0,1,1,0,1,0,1,101.25,3.375,3949.15,0,0,1,0,1,0,0
1,1,0,0,0,25,1,1,1,0,0,0,1,0,0,1,0,1,94.7,3.1566666666666667,2362.1,1,0,0,0,1,0,0
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,70.9,2.3633333333333337,70.9,0,0,0,1,1,0,0
1,1,0,1,0,22,1,0,0,0,0,1,0,1,1,0,0,1,54.2,1.8066666666666669,1152.7,0,0,1,0,1,0,0
0,0,0,0,0,72,1,1,1,1,1,1,1,1,0,1,0,1,114.9,3.83,8496.7,0,0,1,0,0,0,1
0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,1,1,19.55,0.6516666666666667,470.2,1,0,0,0,0,0,1
0,0,0,1,0,19,1,1,0,0,0,0,1,0,0,1,0,1,86.85,2.895,1564.4,0,0,1,0,1,0,0
0,1,0,1,1,71,1,1,0,0,0,0,0,0,0,0,1,0,25.35,0.8450000000000001,1847.55,0,1,0,0,0,0,1
0,1,1,1,0,33,1,1,1,1,0,1,1,1,0,1,0,1,109.9,3.6633333333333336,3694.7,1,0,0,0,1,0,0
0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,19.95,0.6649999999999999,58.0,0,0,0,1,1,0,0
0,1,0,1,1,47,1,1,0,0,1,0,1,0,0,1,0,0,87.2,2.9066666666666667,4017.45,0,0,1,0,1,0,0
0,1,0,1,1,62,1,0,1,1,1,1,1,1,0,1,0,0,108.15,3.605,6825.65,0,0,0,1,0,0,1
0,1,0,0,0,71,1,1,1,1,1,1,1,1,0,1,0,1,116.3,3.8766666666666665,8309.55,1,0,0,0,0,1,0
0,1,1,1,0,7,1,0,1,0,0,0,1,0,0,1,0,1,89.0,2.966666666666667,605.45,0,0,1,0,1,0,0
0,0,0,1,1,27,1,0,0,0,0,1,0,0,0,1,0,0,74.4,2.48,1972.35,0,0,0,1,1,0,0
0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,20.05,0.6683333333333333,33.7,0,0,0,1,1,0,0
0,0,0,0,1,25,0,0,0,0,0,1,0,1,1,0,0,0,35.05,1.1683333333333332,844.45,1,0,0,0,0,0,1
0,1,1,0,0,30,1,0,1,0,1,1,1,0,1,0,0,1,74.75,2.4916666666666667,2111.3,0,0,1,0,1,0,0
1,0,1,1,0,58,1,0,1,0,1,1,1,1,0,1,0,1,105.5,3.5166666666666666,6205.5,0,1,0,0,0,1,0
1,1,0,1,0,10,1,1,1,0,0,0,0,0,0,1,0,1,85.25,2.841666666666667,855.3,0,0,1,0,1,0,0
0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,1,0,1,75.2,2.506666666666667,633.85,0,1,0,0,1,0,0
1,0,1,1,0,6,1,1,1,0,0,0,0,0,0,1,0,1,84.35,2.8116666666666665,474.9,0,0,1,0,1,0,0
0,0,0,1,1,69,1,1,0,1,0,1,0,0,0,1,0,0,84.45,2.815,5848.6,1,0,0,0,0,1,0
0,0,1,0,0,66,1,1,1,0,0,1,1,0,0,1,0,1,102.4,3.4133333333333336,6471.85,1,0,0,0,0,0,1
1,0,0,0,0,70,1,1,1,1,1,1,1,1,0,1,0,0,115.55,3.8516666666666666,8127.6,0,1,0,0,0,1,0
1,1,0,0,0,25,1,1,0,0,0,0,0,0,0,0,1,0,25.3,0.8433333333333334,676.35,1,0,0,0,0,1,0
0,0,0,1,1,46,1,0,0,0,0,0,0,0,0,0,1,1,19.25,0.6416666666666667,864.2,0,0,0,1,0,0,1
0,0,0,1,0,54,1,1,1,1,1,1,1,1,0,1,0,1,114.65,3.8216666666666668,6049.5,0,0,0,1,0,1,0
1,0,0,0,0,15,1,0,1,1,0,1,1,1,0,1,0,0,105.1,3.503333333333333,1582.75,0,0,1,0,1,0,0
0,0,0,1,1,12,1,0,0,0,0,0,0,0,0,0,1,0,19.4,0.6466666666666666,198.1,1,0,0,0,1,0,0
0,0,0,0,0,22,0,0,1,0,1,0,1,0,1,0,0,1,50.35,1.6783333333333335,1098.85,0,0,1,0,1,0,0
0,0,0,1,0,70,0,0,1,1,1,0,1,1,1,0,0,0,57.8,1.9266666666666665,4039.3,1,0,0,0,0,0,1
0,1,0,0,0,30,1,0,0,1,1,1,0,0,0,1,0,1,84.3,2.81,2438.6,0,1,0,0,1,0,0
0,1,0,1,1,71,1,1,1,0,1,0,1,0,0,1,0,0,100.55,3.3516666666666666,7113.75,1,0,0,0,0,1,0
0,1,0,1,0,30,1,0,0,0,0,0,0,0,0,0,1,0,19.8,0.66,576.65,0,1,0,0,0,1,0
1,1,0,1,1,4,1,1,0,1,1,0,0,0,0,1,0,1,84.8,2.8266666666666667,371.9,1,0,0,0,1,0,0
1,1,0,0,0,2,1,0,1,1,0,0,0,0,0,1,0,1,85.85,2.8616666666666664,167.3,0,0,1,0,1,0,0
0,1,0,0,1,10,1,0,0,0,0,0,0,0,0,0,1,1,19.95,0.6649999999999999,219.5,1,0,0,0,0,1,0
0,1,1,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,75.35,2.5116666666666663,273.4,0,0,1,0,1,0,0
0,1,1,0,0,52,0,0,1,0,0,1,1,0,1,0,0,1,48.8,1.6266666666666665,2555.05,0,1,0,0,1,0,0
1,1,0,0,0,5,1,1,0,0,0,0,0,0,1,0,0,0,47.15,1.5716666666666665,223.15,0,0,1,0,1,0,0
0,1,0,1,1,8,1,0,0,0,0,0,0,0,0,0,1,0,20.15,0.6716666666666666,165.5,0,0,0,1,0,0,1
0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,44.3,1.4766666666666666,89.3,0,0,1,0,1,0,0
0,1,0,0,0,3,1,0,1,0,1,0,0,0,0,1,0,0,84.3,2.81,235.05,0,0,1,0,1,0,0
0,1,0,0,0,19,1,1,0,1,0,0,0,1,1,0,0,0,59.55,1.9849999999999999,1144.6,0,0,1,0,1,0,0
0,1,0,0,0,72,1,1,0,1,1,1,0,1,1,0,0,0,69.65,2.3216666666666668,4908.25,1,0,0,0,0,0,1
0,1,1,1,0,63,0,0,0,0,0,1,0,1,1,0,0,0,36.1,1.2033333333333334,2298.9,1,0,0,0,0,1,0
0,1,0,1,0,66,0,0,0,1,1,1,1,1,1,0,0,1,56.6,1.8866666666666667,3789.2,1,0,0,0,0,0,1
1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,75.9,2.5300000000000002,75.9,0,0,1,0,1,0,0
0,0,0,0,0,60,1,1,0,1,0,0,0,0,0,1,0,1,79.2,2.64,4765.0,1,0,0,0,0,1,0
0,0,0,1,1,48,0,0,1,1,0,1,0,0,1,0,0,0,45.0,1.5,2196.3,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,85.55,2.8516666666666666,85.55,0,1,0,0,1,0,0
1,1,0,0,0,15,1,1,1,0,0,0,1,0,0,1,0,1,93.35,3.1116666666666664,1444.65,0,0,1,0,1,0,0
0,0,0,1,0,50,1,1,1,0,1,1,1,1,0,1,0,1,109.65,3.6550000000000002,5405.8,1,0,0,0,1,0,0
0,1,0,1,1,72,1,1,1,1,1,1,1,1,1,0,0,0,89.7,2.99,6339.3,0,1,0,0,0,0,1
0,0,0,0,0,46,1,1,0,0,1,1,0,0,0,1,0,0,84.25,2.808333333333333,3847.6,0,0,0,1,1,0,0
0,0,0,1,1,72,1,1,1,1,1,1,1,1,1,0,0,0,92.65,3.0883333333333334,6733.0,1,0,0,0,0,0,1
0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,19.7,0.6566666666666666,19.7,0,0,0,1,1,0,0
0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,50.1,1.6700000000000002,50.1,0,0,1,0,1,0,0
0,0,1,0,0,67,1,0,0,0,1,1,1,1,0,1,0,1,92.45,3.0816666666666666,6140.85,1,0,0,0,0,0,1
0,0,0,1,1,48,1,1,1,0,1,0,1,1,1,0,0,0,79.65,2.6550000000000002,3870.3,0,0,1,0,0,0,1
0,0,0,0,0,72,1,0,1,1,1,1,1,1,0,1,0,1,109.9,3.6633333333333336,7624.2,0,0,1,0,0,0,1
0,1,0,1,0,52,1,1,1,1,1,1,0,1,1,0,0,1,81.4,2.7133333333333334,4354.45,0,1,0,0,0,1,0
0,0,0,1,1,67,1,0,0,0,1,0,0,0,1,0,0,0,50.55,1.6849999999999998,3431.75,0,1,0,0,0,1,0
1,0,0,1,1,28,1,0,1,0,0,0,0,0,0,1,0,1,81.05,2.7016666666666667,2227.1,0,0,1,0,1,0,0
0,0,0,1,1,32,1,1,0,1,1,0,0,0,1,0,0,0,62.45,2.0816666666666666,2045.55,1,0,0,0,1,0,0
1,0,1,1,0,27,1,0,0,0,0,1,0,0,0,1,0,1,75.2,2.506666666666667,1929.35,1,0,0,0,1,0,0
0,1,0,0,0,3,1,0,1,1,1,0,0,0,0,1,0,0,90.4,3.0133333333333336,268.45,0,0,1,0,1,0,0
1,1,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,1,85.65,2.855,181.5,0,0,1,0,1,0,0
1,0,0,0,1,9,1,0,1,1,0,0,1,1,1,0,0,1,72.9,2.43,651.4,0,0,0,1,1,0,0
0,1,0,1,1,50,1,1,0,0,0,1,1,1,1,0,0,1,70.5,2.35,3486.65,0,1,0,0,0,0,1
0,0,0,1,1,71,1,0,0,0,0,0,0,0,0,0,1,0,20.1,0.67,1389.6,1,0,0,0,0,0,1
1,1,1,1,0,32,1,1,0,0,0,0,0,0,0,1,0,1,74.9,2.496666666666667,2303.35,0,0,1,0,1,0,0
0,0,0,1,1,16,1,0,1,1,0,1,1,0,0,1,0,0,100.7,3.356666666666667,1522.7,1,0,0,0,1,0,0
0,0,0,1,1,67,1,1,1,1,0,0,1,1,0,1,0,1,105.65,3.521666666666667,6717.9,1,0,0,0,0,0,1
0,1,0,1,1,72,1,1,1,1,1,1,1,1,0,1,0,1,114.3,3.81,8058.55,0,1,0,0,0,0,1
1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,19.75,0.6583333333333333,58.85,0,0,1,0,1,0,0
0,1,0,1,1,23,1,1,0,0,0,0,0,0,0,0,1,0,24.35,0.8116666666666668,538.5,0,0,0,1,0,1,0
0,1,0,1,1,72,1,1,0,1,1,1,0,1,1,0,0,0,69.85,2.328333333333333,5102.35,1,0,0,0,0,0,1
0,1,0,1,1,7,0,0,1,1,1,1,1,0,1,0,0,0,58.85,1.9616666666666667,465.7,0,0,0,1,1,0,0
0,1,0,1,1,8,1,0,0,0,0,0,1,0,1,0,0,1,54.4,1.8133333333333332,475.1,0,0,1,0,1,0,0
0,1,0,1,1,66,0,0,1,0,0,0,1,1,1,0,0,0,50.55,1.6849999999999998,3364.55,1,0,0,0,0,0,1
1,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,21.05,0.7016666666666667,113.85,0,0,0,1,1,0,0
1,1,0,0,0,49,1,1,1,1,1,0,1,0,0,1,0,1,103.7,3.4566666666666666,5036.3,1,0,0,0,1,0,0
0,1,0,1,0,63,1,0,0,0,0,0,0,0,0,0,1,1,19.95,0.6649999999999999,1234.8,1,0,0,0,0,0,1
0,0,1,1,1,12,0,0,0,0,0,0,0,1,1,0,0,1,29.3,0.9766666666666667,355.9,0,0,0,1,1,0,0
0,1,0,1,1,27,1,0,0,0,1,1,0,0,1,0,0,1,54.75,1.825,1510.3,0,1,0,0,1,0,0
0,0,0,0,0,35,1,0,0,1,1,1,0,0,1,0,0,0,60.55,2.018333333333333,1982.6,0,0,1,0,1,0,0
0,0,0,1,1,54,1,1,1,1,1,0,1,1,1,0,0,1,86.2,2.8733333333333335,4524.05,0,0,1,0,1,0,0
1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,95.45,3.1816666666666666,95.45,0,0,1,0,1,0,0
0,1,0,0,0,5,1,0,0,1,0,0,1,1,1,0,0,1,63.95,2.131666666666667,318.1,0,1,0,0,1,0,0
0,1,0,0,0,19,1,0,1,0,1,0,0,1,1,0,0,1,65.35,2.1783333333333332,1231.85,1,0,0,0,0,1,0
0,1,0,1,1,52,0,0,0,1,1,0,1,1,1,0,0,0,50.2,1.6733333333333333,2554.0,0,0,0,1,0,0,1
0,0,0,1,1,72,0,0,1,1,1,1,1,1,1,0,0,1,63.8,2.1266666666666665,4684.3,1,0,0,0,0,0,1
0,1,0,0,0,32,1,0,0,0,0,0,0,0,0,0,1,1,20.05,0.6683333333333333,614.45,1,0,0,0,0,0,1
1,0,0,1,0,8,1,0,1,1,1,0,1,0,0,1,0,0,101.15,3.371666666666667,842.9,0,0,1,0,1,0,0
0,1,0,0,0,41,1,1,1,1,0,0,0,0,1,0,0,0,65.0,2.1666666666666665,2531.8,0,0,0,1,0,1,0
0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,1,19.25,0.6416666666666667,86.05,0,0,0,1,1,0,0
0,0,0,0,1,11,0,0,0,0,0,1,0,1,1,0,0,1,36.05,1.2016666666666667,402.6,0,0,0,1,0,1,0
1,1,0,0,0,5,1,0,1,0,0,0,1,1,0,1,0,1,96.1,3.203333333333333,453.4,0,0,1,0,1,0,0
0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,1,0,19.05,0.635,326.65,0,0,0,1,0,1,0
0,1,1,0,0,71,1,1,1,0,1,0,1,1,0,1,0,0,105.75,3.525,7382.85,1,0,0,0,0,1,0
0,0,0,0,0,11,0,0,0,1,1,0,0,1,1,0,0,1,40.4,1.3466666666666667,422.6,0,1,0,0,0,1,0
1,0,0,1,1,61,1,1,1,0,1,0,1,0,0,1,0,1,99.15,3.305,6010.05,0,0,1,0,1,0,0
0,0,0,1,0,71,1,0,1,1,1,1,1,1,1,0,0,1,84.8,2.8266666666666667,6046.1,1,0,0,0,0,1,0
0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0,19.85,0.6616666666666667,178.8,0,0,0,1,1,0,0
0,0,0,0,0,6,1,0,0,0,0,1,0,0,1,0,0,1,49.45,1.6483333333333334,314.6,0,0,1,0,1,0,0
1,0,0,0,0,26,1,0,1,0,0,0,1,0,0,1,0,1,88.8,2.96,2274.35,1,0,0,0,1,0,0
0,0,0,0,0,6,1,0,0,0,1,1,0,0,1,0,0,0,55.15,1.8383333333333334,322.9,0,0,0,1,1,0,0
0,1,0,0,0,11,1,0,1,1,0,0,0,0,0,1,0,0,84.8,2.8266666666666667,888.75,0,0,1,0,1,0,0
