Churn,customer_tenure,customer_is_SeniorCitizen,customer_has_Dependents,customer_has_Partner,account_Charges_Total,account_Charges_Daily,account_Charges_Monthly,account_is_PaperlessBilling,account_Payment_electronic_check,account_Payment_credit_card_(automatic),account_Payment_bank_transfer_(automatic),account_Contract_month-to-month,account_Contract_one_year,account_Contract_two_year,internet_Service_fiber_optic,internet_Service_dsl,internet_Service_no,internet_has_OnlineSecurity,internet_has_TechSupport,num_servicos_contratados
0,69,0,1,1,1396.9,0.6566666666666666,19.7,0,0,0,1,0,0,1,0,0,1,0,0,1
0,37,0,1,1,3247.55,3.04,91.2,0,0,1,0,0,1,0,1,0,0,0,0,4
0,49,0,0,1,900.9,0.6816666666666666,20.45,0,0,0,1,0,1,0,0,0,1,0,0,1
0,66,0,0,1,7942.15,3.86,115.8,0,0,0,1,0,1,0,1,0,0,1,1,9
0,67,0,0,0,1343.4,0.685,20.55,0,1,0,0,0,1,0,0,0,1,0,0,1
0,20,0,1,1,825.4,1.3133333333333332,39.4,1,0,1,0,0,0,1,0,1,0,1,1,5
0,43,0,1,0,1070.15,0.8366666666666667,25.1,1,1,0,0,0,0,1,0,0,1,0,0,3
0,55,0,0,1,4959.6,2.993333333333333,89.8,1,0,0,1,1,0,0,1,0,0,1,0,6
0,59,0,0,1,5597.65,3.158333333333333,94.75,1,1,0,0,1,0,0,1,0,0,1,0,7
0,12,0,1,1,224.5,0.6766666666666666,20.3,0,0,0,1,0,0,1,0,0,1,0,0,1
0,27,0,1,1,1929.0,2.525,75.75,1,0,0,1,1,0,0,1,0,0,0,0,4
1,2,1,0,0,91.1,1.6416666666666666,49.25,1,1,0,0,1,0,0,0,1,0,1,0,4
0,27,0,0,0,2078.95,2.606666666666667,78.2,0,0,0,0,0,1,0,0,1,0,0,1,7
0,25,0,1,1,630.6,0.85,25.5,0,0,1,0,0,0,1,0,0,1,0,0,2
0,25,0,1,1,1611.0,2.0533333333333332,61.6,1,0,0,1,0,1,0,0,1,0,1,0,6
0,29,0,1,0,1242.45,1.5,45.0,1,0,0,0,1,0,0,0,1,0,1,1,6
0,72,0,0,1,6316.2,2.8383333333333334,85.15,1,0,0,1,0,0,1,0,1,0,0,1,9
0,14,0,0,0,727.85,1.715,51.45,0,0,1,0,0,1,0,0,1,0,0,0,3
0,35,0,0,0,3532.0,3.308333333333333,99.25,1,1,0,0,0,1,0,1,0,0,0,1,7
0,1,0,0,0,44.3,1.4766666666666666,44.3,1,0,0,0,1,0,0,0,1,0,0,0,3
0,29,0,0,0,2607.6,3.14,94.2,1,1,0,0,1,0,0,1,0,0,0,1,6
0,64,0,0,0,5567.55,2.7083333333333335,81.25,0,1,0,0,0,1,0,0,1,0,1,1,8
0,39,0,1,1,3767.4,3.3316666666666666,99.95,1,0,1,0,1,0,0,1,0,0,0,1,7
0,40,1,0,0,3673.6,3.0516666666666667,91.55,1,1,0,0,1,0,0,1,0,0,0,0,5
1,40,0,0,0,4036.85,3.4833333333333334,104.5,1,0,1,0,1,0,0,1,0,0,0,0,8
1,11,1,0,0,1120.3,3.1666666666666665,95.0,1,1,0,0,1,0,0,1,0,0,0,0,6
0,6,0,0,1,314.55,1.6783333333333335,50.35,0,1,0,0,1,0,0,0,1,0,0,0,3
0,30,0,0,0,1888.45,2.15,64.5,1,0,0,0,1,0,0,0,1,0,1,0,6
0,27,0,0,0,529.8,0.6466666666666666,19.4,1,1,0,0,1,0,0,0,0,1,0,0,2
0,70,1,0,1,7308.95,3.493333333333333,104.8,1,1,0,0,0,1,0,1,0,0,0,0,8
0,57,0,0,1,6252.7,3.646666666666667,109.4,1,0,0,1,0,1,0,1,0,0,0,1,9
0,58,0,0,1,2878.55,1.6766666666666665,50.3,0,0,1,0,0,1,0,0,1,0,0,0,3
0,16,0,0,0,1212.1,2.3800000000000003,71.4,1,0,0,1,1,0,0,0,1,0,0,0,7
0,69,0,0,1,8182.85,3.8666666666666667,116.0,1,1,0,0,0,0,1,1,0,0,1,1,10
1,1,0,0,0,19.85,0.6616666666666667,19.85,1,1,0,0,1,0,0,0,0,1,0,0,2
1,1,0,1,0,99.75,3.325,99.75,1,1,0,0,1,0,0,1,0,0,0,0,7
0,32,1,1,1,2861.45,3.131666666666667,93.95,1,0,0,0,1,0,0,1,0,0,0,0,6
0,16,0,1,1,1442.2,3.0266666666666664,90.8,1,0,0,1,1,0,0,1,0,0,0,0,6
1,49,0,0,1,4059.35,2.8116666666666665,84.35,0,1,0,0,0,1,0,0,1,0,1,1,8
0,71,0,0,1,4145.9,1.9416666666666667,58.25,0,0,0,1,0,0,1,0,1,0,0,1,6
0,33,0,0,0,3645.5,3.585,107.55,0,1,0,0,1,0,0,1,0,0,0,0,7
0,10,0,0,1,187.75,0.6649999999999999,19.95,1,0,0,1,1,0,0,0,0,1,0,0,2
1,21,0,0,1,2317.1,3.7066666666666666,111.2,1,1,0,0,1,0,0,1,0,0,0,1,9
1,37,0,1,1,1448.8,1.34,40.2,0,0,0,1,1,0,0,0,1,0,1,0,4
0,26,1,0,0,2193.65,2.86,85.8,1,0,1,0,1,0,0,1,0,0,1,0,5
0,50,0,0,0,1748.9,1.18,35.4,1,0,0,0,0,1,0,0,1,0,1,1,4
1,7,0,0,0,511.25,2.4616666666666664,73.85,1,1,0,0,1,0,0,1,0,0,0,0,4
0,61,0,1,1,5526.75,2.9366666666666665,88.1,0,0,0,0,0,0,1,0,1,0,1,1,9
1,15,0,0,0,1553.95,3.378333333333333,101.35,1,1,0,0,1,0,0,1,0,0,0,1,7
0,26,0,1,0,1147.0,1.5266666666666666,45.8,0,0,0,0,1,0,0,0,1,0,1,1,4
0,72,0,0,1,6747.35,3.1550000000000002,94.65,1,1,0,0,1,0,0,1,0,0,0,0,6
0,44,0,1,1,865.05,0.6833333333333333,20.5,1,0,0,1,0,1,0,0,0,1,0,0,2
0,66,0,0,0,5976.9,2.98,89.4,0,0,1,0,1,0,0,1,0,0,0,0,5
1,2,0,0,0,181.65,2.875,86.25,1,1,0,0,1,0,0,1,0,0,1,1,6
0,44,1,0,0,3268.05,2.4949999999999997,74.85,0,0,0,1,0,1,0,0,1,0,0,1,6
1,12,0,0,0,1052.4,2.9916666666666667,89.75,1,0,0,1,1,0,0,1,0,0,0,0,6
0,69,1,0,1,7634.25,3.665,109.95,1,1,0,0,0,0,1,1,0,0,0,1,9
1,1,0,0,0,80.2,2.6733333333333333,80.2,1,0,0,0,1,0,0,1,0,0,0,0,5
1,3,0,0,0,63.75,0.6616666666666667,19.85,0,0,0,0,1,0,0,0,0,1,0,0,1
0,2,0,0,1,190.5,3.0116666666666663,90.35,0,1,0,0,1,0,0,1,0,0,1,0,5
0,27,1,0,0,2401.05,2.881666666666667,86.45,1,0,0,1,1,0,0,1,0,0,0,0,6
0,26,0,0,0,511.25,0.6766666666666666,20.3,1,1,0,0,1,0,0,0,0,1,0,0,2
0,39,1,0,1,3949.15,3.375,101.25,1,1,0,0,1,0,0,1,0,0,0,1,7
1,25,0,0,0,2362.1,3.1566666666666667,94.7,1,0,0,1,1,0,0,1,0,0,0,0,6
1,1,0,0,0,70.9,2.3633333333333337,70.9,0,0,0,0,1,0,0,1,0,0,0,0,2
1,22,0,0,1,1152.7,1.8066666666666669,54.2,1,1,0,0,1,0,0,0,1,0,1,1,5
0,72,0,0,0,8496.7,3.83,114.9,1,1,0,0,0,0,1,1,0,0,1,1,10
0,24,0,0,0,470.2,0.6516666666666667,19.55,1,0,0,1,0,0,1,0,0,1,0,0,2
0,19,0,0,1,1564.4,2.895,86.85,1,1,0,0,1,0,0,1,0,0,0,0,5
0,71,0,1,1,1847.55,0.8450000000000001,25.35,0,0,1,0,0,0,1,0,0,1,0,0,2
0,33,1,0,1,3694.7,3.6633333333333336,109.9,1,0,0,1,1,0,0,1,0,0,1,1,9
0,3,0,0,0,58.0,0.6649999999999999,19.95,0,0,0,0,1,0,0,0,0,1,0,0,1
0,47,0,1,1,4017.45,2.9066666666666667,87.2,0,1,0,0,1,0,0,1,0,0,0,0,5
0,62,0,1,1,6825.65,3.605,108.15,0,0,0,0,0,0,1,1,0,0,1,1,8
0,71,0,0,0,8309.55,3.8766666666666665,116.3,1,0,0,1,0,1,0,1,0,0,1,1,10
0,7,1,0,1,605.45,2.966666666666667,89.0,1,1,0,0,1,0,0,1,0,0,0,0,5
0,27,0,1,1,1972.35,2.48,74.4,0,0,0,0,1,0,0,1,0,0,1,0,3
0,2,0,0,0,33.7,0.6683333333333333,20.05,0,0,0,0,1,0,0,0,0,1,0,0,1
0,25,0,1,0,844.45,1.1683333333333332,35.05,0,0,0,1,0,0,1,0,1,0,1,1,3
0,30,1,0,0,2111.3,2.4916666666666667,74.75,1,1,0,0,1,0,0,0,1,0,1,0,7
1,58,1,0,1,6205.5,3.5166666666666666,105.5,1,0,1,0,0,1,0,1,0,0,1,1,8
1,10,0,0,1,855.3,2.841666666666667,85.25,1,1,0,0,1,0,0,1,0,0,0,0,5
0,9,0,0,0,633.85,2.506666666666667,75.2,1,0,1,0,1,0,0,1,0,0,0,0,4
1,6,1,0,1,474.9,2.8116666666666665,84.35,1,1,0,0,1,0,0,1,0,0,0,0,5
0,69,0,1,1,5848.6,2.815,84.45,0,0,0,1,0,1,0,1,0,0,1,0,5
0,66,1,0,0,6471.85,3.4133333333333336,102.4,1,0,0,1,0,0,1,1,0,0,1,0,7
1,70,0,0,0,8127.6,3.8516666666666666,115.55,0,0,1,0,0,1,0,1,0,0,1,1,9
1,25,0,0,0,676.35,0.8433333333333334,25.3,0,0,0,1,0,1,0,0,0,1,0,0,2
0,46,0,1,1,864.2,0.6416666666666667,19.25,1,0,0,0,0,0,1,0,0,1,0,0,2
0,54,0,0,1,6049.5,3.8216666666666668,114.65,1,0,0,0,0,1,0,1,0,0,1,1,10
1,15,0,0,0,1582.75,3.503333333333333,105.1,0,1,0,0,1,0,0,1,0,0,1,1,7
0,12,0,1,1,198.1,0.6466666666666666,19.4,0,0,0,1,1,0,0,0,0,1,0,0,1
0,22,0,0,0,1098.85,1.6783333333333335,50.35,1,1,0,0,1,0,0,0,1,0,0,0,5
0,70,0,0,1,4039.3,1.9266666666666665,57.8,0,0,0,1,0,0,1,0,1,0,0,1,6
0,30,0,0,0,2438.6,2.81,84.3,1,0,1,0,1,0,0,1,0,0,1,0,6
0,71,0,1,1,7113.75,3.3516666666666666,100.55,0,0,0,1,0,1,0,1,0,0,0,0,6
0,30,0,0,1,576.65,0.66,19.8,0,0,1,0,0,1,0,0,0,1,0,0,1
1,4,0,1,1,371.9,2.8266666666666667,84.8,1,0,0,1,1,0,0,1,0,0,0,0,6
1,2,0,0,0,167.3,2.8616666666666664,85.85,1,1,0,0,1,0,0,1,0,0,0,0,5
0,10,0,1,0,219.5,0.6649999999999999,19.95,1,0,0,1,0,1,0,0,0,1,0,0,2
0,4,1,0,0,273.4,2.5116666666666663,75.35,0,1,0,0,1,0,0,1,0,0,1,0,3
0,52,1,0,0,2555.05,1.6266666666666665,48.8,1,0,1,0,1,0,0,0,1,0,1,0,5
1,5,0,0,0,223.15,1.5716666666666665,47.15,0,1,0,0,1,0,0,0,1,0,0,0,3
0,8,0,1,1,165.5,0.6716666666666666,20.15,0,0,0,0,0,0,1,0,0,1,0,0,1
0,2,1,0,0,89.3,1.4766666666666666,44.3,1,1,0,0,1,0,0,0,1,0,0,0,3
0,3,0,0,0,235.05,2.81,84.3,0,1,0,0,1,0,0,1,0,0,0,0,4
0,19,0,0,0,1144.6,1.9849999999999999,59.55,0,1,0,0,1,0,0,0,1,0,0,1,5
0,72,0,0,0,4908.25,2.3216666666666668,69.65,0,0,0,1,0,0,1,0,1,0,1,1,7
0,63,1,0,1,2298.9,1.2033333333333334,36.1,0,0,0,1,0,1,0,0,1,0,1,1,3
0,66,0,0,1,3789.2,1.8866666666666667,56.6,1,0,0,1,0,0,1,0,1,0,1,1,7
1,1,0,0,0,75.9,2.5300000000000002,75.9,1,1,0,0,1,0,0,1,0,0,0,1,4
0,60,0,0,0,4765.0,2.64,79.2,1,0,0,1,0,1,0,1,0,0,0,0,5
0,48,0,1,1,2196.3,1.5,45.0,0,0,1,0,0,1,0,0,1,0,1,0,4
1,1,0,0,0,85.55,2.8516666666666666,85.55,1,0,1,0,1,0,0,1,0,0,0,0,5
1,15,0,0,0,1444.65,3.1116666666666664,93.35,1,1,0,0,1,0,0,1,0,0,0,0,6
0,50,0,0,1,5405.8,3.6550000000000002,109.65,1,0,0,1,1,0,0,1,0,0,1,1,9
0,72,0,1,1,6339.3,2.99,89.7,0,0,1,0,0,0,1,0,1,0,1,1,9
0,46,0,0,0,3847.6,2.808333333333333,84.25,0,0,0,0,1,0,0,1,0,0,1,0,5
0,72,0,1,1,6733.0,3.0883333333333334,92.65,0,0,0,1,0,0,1,0,1,0,1,1,9
0,1,0,1,1,19.7,0.6566666666666666,19.7,0,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,50.1,1.6700000000000002,50.1,1,1,0,0,1,0,0,0,1,0,0,0,4
0,67,1,0,0,6140.85,3.0816666666666666,92.45,1,0,0,1,0,0,1,1,0,0,1,1,7
0,48,0,1,1,3870.3,2.6550000000000002,79.65,0,1,0,0,0,0,1,0,1,0,0,1,7
0,72,0,0,0,7624.2,3.6633333333333336,109.9,1,1,0,0,0,0,1,1,0,0,1,1,9
0,52,0,0,1,4354.45,2.7133333333333334,81.4,1,0,1,0,0,1,0,0,1,0,1,1,9
0,67,0,1,1,3431.75,1.6849999999999998,50.55,0,0,1,0,0,1,0,0,1,0,0,0,3
1,28,0,1,1,2227.1,2.7016666666666667,81.05,1,1,0,0,1,0,0,1,0,0,0,0,4
0,32,0,1,1,2045.55,2.0816666666666666,62.45,0,0,0,1,1,0,0,0,1,0,0,0,5
1,27,1,0,1,1929.35,2.506666666666667,75.2,1,0,0,1,1,0,0,1,0,0,1,0,4
0,3,0,0,0,268.45,3.0133333333333336,90.4,0,1,0,0,1,0,0,1,0,0,0,0,5
1,2,0,0,0,181.5,2.855,85.65,1,1,0,0,1,0,0,1,0,0,0,0,5
1,9,0,1,0,651.4,2.43,72.9,1,0,0,0,1,0,0,0,1,0,0,1,7
0,50,0,1,1,3486.65,2.35,70.5,1,0,1,0,0,0,1,0,1,0,1,1,7
0,71,0,1,1,1389.6,0.67,20.1,0,0,0,1,0,0,1,0,0,1,0,0,1
1,32,1,0,1,2303.35,2.496666666666667,74.9,1,1,0,0,1,0,0,1,0,0,0,0,4
0,16,0,1,1,1522.7,3.356666666666667,100.7,0,0,0,1,1,0,0,1,0,0,1,0,6
0,67,0,1,1,6717.9,3.521666666666667,105.65,1,0,0,1,0,0,1,1,0,0,0,1,8
0,72,0,1,1,8058.55,3.81,114.3,1,0,1,0,0,0,1,1,0,0,1,1,10
1,3,0,0,0,58.85,0.6583333333333333,19.75,0,1,0,0,1,0,0,0,0,1,0,0,1
0,23,0,1,1,538.5,0.8116666666666668,24.35,0,0,0,0,0,1,0,0,0,1,0,0,2
0,72,0,1,1,5102.35,2.328333333333333,69.85,0,0,0,1,0,0,1,0,1,0,1,1,7
0,7,0,1,1,465.7,1.9616666666666667,58.85,0,0,0,0,1,0,0,0,1,0,1,0,6
0,8,0,1,1,475.1,1.8133333333333332,54.4,1,1,0,0,1,0,0,0,1,0,0,0,4
0,66,0,1,1,3364.55,1.6849999999999998,50.55,0,0,0,1,0,0,1,0,1,0,0,1,4
1,5,0,0,0,113.85,0.7016666666666667,21.05,0,0,0,0,1,0,0,0,0,1,0,0,1
1,49,0,0,0,5036.3,3.4566666666666666,103.7,1,0,0,1,1,0,0,1,0,0,0,0,8
0,63,0,0,1,1234.8,0.6649999999999999,19.95,1,0,0,1,0,0,1,0,0,1,0,0,2
0,12,1,1,1,355.9,0.9766666666666667,29.3,1,0,0,0,1,0,0,0,1,0,0,1,3
0,27,0,1,1,1510.3,1.825,54.75,1,0,1,0,1,0,0,0,1,0,1,0,5
0,35,0,0,0,1982.6,2.018333333333333,60.55,0,1,0,0,1,0,0,0,1,0,1,0,5
0,54,0,1,1,4524.05,2.8733333333333335,86.2,1,1,0,0,1,0,0,0,1,0,0,1,9
1,1,0,0,0,95.45,3.1816666666666666,95.45,1,1,0,0,1,0,0,1,0,0,0,0,6
0,5,0,0,0,318.1,2.131666666666667,63.95,1,0,1,0,1,0,0,0,1,0,0,1,6
0,19,0,0,0,1231.85,2.1783333333333332,65.35,1,0,0,1,0,1,0,0,1,0,0,1,6
0,52,0,1,1,2554.0,1.6733333333333333,50.2,0,0,0,0,0,0,1,0,1,0,0,1,5
0,72,0,1,1,4684.3,2.1266666666666665,63.8,1,0,0,1,0,0,1,0,1,0,1,1,8
0,32,0,0,0,614.45,0.6683333333333333,20.05,1,0,0,1,0,0,1,0,0,1,0,0,2
1,8,0,0,1,842.9,3.371666666666667,101.15,0,1,0,0,1,0,0,1,0,0,0,0,6
0,41,0,0,0,2531.8,2.1666666666666665,65.0,0,0,0,0,0,1,0,0,1,0,0,0,5
0,5,0,0,0,86.05,0.6416666666666667,19.25,1,0,0,0,1,0,0,0,0,1,0,0,2
0,11,0,1,0,402.6,1.2016666666666667,36.05,1,0,0,0,0,1,0,0,1,0,1,1,4
1,5,0,0,0,453.4,3.203333333333333,96.1,1,1,0,0,1,0,0,1,0,0,0,1,6
0,16,0,0,0,326.65,0.635,19.05,0,0,0,0,0,1,0,0,0,1,0,0,1
0,71,1,0,0,7382.85,3.525,105.75,0,0,0,1,0,1,0,1,0,0,0,1,7
0,11,0,0,0,422.6,1.3466666666666667,40.4,1,0,1,0,0,1,0,0,1,0,0,1,5
1,61,0,1,1,6010.05,3.305,99.15,1,1,0,0,1,0,0,1,0,0,0,0,7
0,71,0,0,1,6046.1,2.8266666666666667,84.8,1,0,0,1,0,1,0,0,1,0,1,1,9
0,9,0,0,0,178.8,0.6616666666666667,19.85,0,0,0,0,1,0,0,0,0,1,0,0,1
0,6,0,0,0,314.6,1.6483333333333334,49.45,1,1,0,0,1,0,0,0,1,0,1,0,4
1,26,0,0,0,2274.35,2.96,88.8,1,0,0,1,1,0,0,1,0,0,0,0,5
0,6,0,0,0,322.9,1.8383333333333334,55.15,0,0,0,0,1,0,0,0,1,0,1,0,4
0,11,0,0,0,888.75,2.8266666666666667,84.8,0,1,0,0,1,0,0,1,0,0,0,0,4
1,1,0,0,1,80.55,2.685,80.55,1,1,0,0,1,0,0,1,0,0,0,0,4
0,49,0,0,1,973.35,0.6716666666666666,20.15,1,0,0,1,0,0,1,0,0,1,0,0,2
0,3,0,1,1,168.6,1.9566666666666668,58.7,1,0,1,0,1,0,0,0,1,0,0,0,5
0,53,0,0,0,5424.25,3.316666666666667,99.5,0,0,0,0,0,0,1,1,0,0,1,1,7
1,23,0,1,1,2331.3,3.328333333333333,99.85,1,1,0,0,1,0,0,1,0,0,1,1,7
1,2,0,0,0,89.5,1.5116666666666667,45.35,0,1,0,0,1,0,0,0,1,0,0,0,2
1,1,0,0,0,48.55,1.6183333333333332,48.55,1,0,0,0,1,0,0,0,1,0,1,0,4
0,3,0,1,0,121.25,0.88,26.4,1,0,0,0,0,0,1,0,0,1,0,0,3
1,68,1,0,1,6851.65,3.3400000000000003,100.2,1,1,0,0,1,0,0,1,0,0,0,0,7
1,8,0,0,0,740.3,3.1566666666666667,94.7,1,1,0,0,1,0,0,1,0,0,0,0,6
0,70,0,0,1,6982.5,3.2550000000000003,97.65,1,1,0,0,0,1,0,1,0,0,0,0,7
0,39,0,1,1,3835.55,3.3333333333333335,100.0,0,1,0,0,0,1,0,1,0,0,0,0,6
1,1,0,0,0,70.1,2.3366666666666664,70.1,1,1,0,0,1,0,0,1,0,0,0,0,3
1,3,0,0,0,315.3,3.2633333333333336,97.9,1,1,0,0,1,0,0,1,0,0,0,1,7
0,60,0,0,1,6157.6,3.4166666666666665,102.5,0,0,0,1,0,1,0,1,0,0,0,0,7
1,5,0,0,1,330.15,2.3316666666666666,69.95,0,1,0,0,1,0,0,1,0,0,0,0,2
1,3,1,0,0,233.7,2.7116666666666664,81.35,1,1,0,0,1,0,0,1,0,0,0,0,5
0,55,0,0,1,3462.1,2.2016666666666667,66.05,1,0,1,0,0,1,0,0,1,0,1,1,7
0,72,0,0,0,4390.25,2.04,61.2,1,0,1,0,0,0,1,0,1,0,1,1,7
0,72,1,0,1,5360.75,2.48,74.4,0,0,0,1,0,0,1,0,1,0,1,1,7
1,41,0,0,0,4443.45,3.5433333333333334,106.3,1,1,0,0,1,0,0,1,0,0,0,0,8
0,60,0,0,0,2424.5,1.32,39.6,0,0,0,1,0,0,1,0,1,0,1,0,4
1,6,0,0,0,577.6,2.9766666666666666,89.3,0,1,0,0,1,0,0,1,0,0,0,0,4
0,46,0,0,1,4854.3,3.6300000000000003,108.9,1,0,1,0,0,0,1,1,0,0,0,1,9
0,15,0,0,0,320.45,0.6633333333333333,19.9,0,0,0,0,1,0,0,0,0,1,0,0,1
1,58,0,0,1,5885.4,3.4033333333333333,102.1,1,0,1,0,1,0,0,1,0,0,0,1,8
0,23,0,1,1,426.65,0.6533333333333334,19.6,0,0,1,0,0,0,1,0,0,1,0,0,1
1,31,1,1,1,2911.3,3.296666666666667,98.9,1,1,0,0,1,0,0,1,0,0,0,1,7
0,11,0,0,1,521.9,1.53,45.9,1,0,0,1,1,0,0,0,1,0,0,0,3
0,56,1,0,0,5706.3,3.33,99.9,1,0,0,1,0,0,1,1,0,0,0,1,8
0,25,0,1,0,471.7,0.6683333333333333,20.05,0,0,1,0,1,0,0,0,0,1,0,0,1
0,68,0,0,0,4539.6,2.145,64.35,0,0,1,0,0,0,1,0,1,0,1,1,7
0,40,0,0,0,830.25,0.6549999999999999,19.65,0,0,1,0,0,0,1,0,0,1,0,0,1
1,36,0,0,0,3067.2,2.83,84.9,1,1,0,0,1,0,0,1,0,0,0,0,5
1,32,0,0,0,3432.9,3.605,108.15,1,0,1,0,1,0,0,1,0,0,1,1,9
0,71,0,1,1,6263.8,2.895,86.85,0,0,0,1,0,0,1,0,1,0,1,1,9
0,17,0,0,1,1742.5,3.4183333333333334,102.55,1,1,0,0,1,0,0,1,0,0,0,0,8
0,18,0,0,1,1468.75,2.606666666666667,78.2,0,1,0,0,1,0,0,1,0,0,0,1,4
0,37,0,0,0,3382.3,3.04,91.2,0,0,0,1,1,0,0,1,0,0,1,0,6
0,2,0,0,0,46.35,0.645,19.35,0,0,0,0,1,0,0,0,0,1,0,0,1
0,28,0,1,1,1992.2,2.3466666666666667,70.4,1,0,0,1,0,1,0,1,0,0,0,0,3
0,9,0,0,0,373.0,1.3183333333333331,39.55,0,0,0,0,0,1,0,0,1,0,1,0,4
0,1,0,0,0,50.15,1.6716666666666666,50.15,0,1,0,0,1,0,0,0,1,0,1,0,3
0,65,0,0,1,1414.45,0.6799999999999999,20.4,1,0,1,0,0,0,1,0,0,1,0,0,2
0,3,0,0,0,122.7,1.4866666666666668,44.6,0,1,0,0,1,0,0,0,1,0,0,0,2
1,1,0,0,0,34.7,1.1566666666666667,34.7,1,1,0,0,1,0,0,0,1,0,0,0,3
0,36,0,0,1,3366.05,3.1199999999999997,93.6,1,1,0,0,1,0,0,1,0,0,1,0,6
1,23,0,0,0,1943.2,3.02,90.6,1,1,0,0,1,0,0,1,0,0,0,1,6
0,22,0,1,1,1271.8,1.9316666666666669,57.95,1,0,0,0,1,0,0,0,1,0,1,1,6
0,72,0,0,1,7965.95,3.7366666666666664,112.1,0,0,1,0,0,0,1,1,0,0,1,1,9
1,17,0,1,1,1460.65,2.941666666666667,88.25,0,1,0,0,1,0,0,1,0,0,0,0,5
1,3,0,0,0,272.2,2.86,85.8,0,1,0,0,1,0,0,1,0,0,0,1,4
1,58,0,0,1,3563.8,2.01,60.3,0,0,1,0,0,1,0,0,1,0,1,0,5
0,67,0,1,1,5398.6,2.7116666666666664,81.35,0,0,1,0,0,0,1,0,1,0,1,0,7
0,34,1,0,0,3343.15,3.328333333333333,99.85,1,1,0,0,0,1,0,1,0,0,0,0,7
0,10,0,0,0,198.7,0.6666666666666666,20.0,0,0,1,0,1,0,0,0,0,1,0,0,1
0,69,0,0,0,5897.4,2.8449999999999998,85.35,1,0,1,0,0,0,1,0,1,0,1,1,9
